"popularity","duration_ms","explicit","danceability","tempo","genre_numeric","popularity_artist"
48,373186,0,0.329,176.143,66,48
42,314017,1,0.755,125.927,61,42
1,193151,0,0.449,171.016,87,19.75
77,182826,0,0.459,181.04,87,19.75
0,193151,0,0.449,171.016,86,19.75
1,193151,0,0.449,171.016,86,19.75
2,158704,0,0.739,124.921,24,2
2,158704,0,0.739,124.921,31,2
41,250322,1,0.518,90.088,40,41
23,115960,0,0.555,146.969,51,25
25,210132,0,0.203,165.342,51,25
33,253026,0,0.42,125.885,51,25
23,220266,0,0.427,132.008,51,25
25,250565,0,0.312,84.636,51,25
21,211559,0,0.248,66.38,51,25
38,192949,0,0.733,111.903,63,38
0,196853,0,0.57,139.348,104,0
60,144193,0,0.727,123.955,54,60
55,226889,0,0.519,128.059,111,55
58,157411,1,0.44,170.196,49,58
6,325859,0,0.121,96.548,60,10.5
15,342000,0,0.134,77.296,60,10.5
8,265777,0,0.084,85.446,60,10.5
13,415000,0,0.157,94.337,60,10.5
10,112689,0,0.142,95.287,60,10.5
11,460068,0,0.106,91.757,60,10.5
8,440405,0,0.0845,84.997,60,8.5
9,385000,0,0.0921,75.063,60,8.5
60,259133,0,0.276,172.326,45,55.5
55,243622,0,0.376,163.956,45,55.5
58,298600,0,0.356,162.397,72,55.5
49,378313,0,0.447,86.469,45,55.5
12,302920,0,0.799,125.997,55,12
10,494333,0,0.397,103.282,55,10
10,305506,0,0.279,70.441,55,10
10,2218626,0,0.199,61.14,55,10
0,193013,0,0.729,91.99,69,0
0,141026,0,0.609,152.166,15,0
26,325594,0,0.906,142.987,29,26
60,197666,0,0.523,150.025,42,60
43,248571,0,0.614,125.755,100,43
57,145056,0,0.589,165.799,1,53.5
50,196724,0,0.49,167.573,1,53.5
33,196853,0,0.589,144.012,37,33
42,397500,0,0.793,127.993,74,42
34,621175,0,0.454,115.006,74,34
48,401626,0,0.635,131.001,74,48
46,241093,0,0.695,153.026,75,46
23,272520,0,0.431,105.017,109,23
0,252239,0,0.653,123.188,20,0
9,362626,0,0.83,117.004,55,9
27,263706,0,0.768,82.033,96,27
65,232505,0,0.688,110.019,81,65
63,261918,0,0.567,91.999,81,63
58,270253,0,0.506,129.704,23,58
49,337506,0,0.575,136.025,112,47
45,353426,0,0.614,165.051,112,47
58,103493,0,0.777,139.888,79,58
27,173619,0,0.36,179.149,12,27
75,233733,0,0.772,96.574,12,68.5
62,222000,0,0.583,102.678,12,68.5
67,167313,0,0.744,121.968,105,67
21,217773,0,0.193,170.061,23,21
22,296760,0,0.263,150.018,42,22
46,357013,0,0.376,141.738,42,46
47,312726,0,0.423,139.946,10,47
22,179919,0,0.765,135.977,79,22
20,57212,0,0.407,85.255,99,20
51,219266,0,0.118,81.506,77,51
44,311066,0,0.514,78,41,44
25,167509,0,0.372,64.066,77,24
25,253514,0,0.233,147.773,77,24
22,269888,0,0.29,139.693,77,24
0,186973,0,0.48,110.111,77,0
0,179386,0,0.477,97.946,77,0
0,180252,0,0.705,124.96,79,0
21,55706,0,0.284,102.307,76,21
0,212440,0,0.488,78.979,3,0
0,213946,0,0.32,78.021,4,0
3,285024,0,0.727,115.003,91,2.5
2,285024,0,0.727,115.003,68,2.5
32,299536,0,0.567,128.112,111,32
65,318908,0,0.548,128.012,1,65
0,271266,0,0.656,104.349,88,0
22,184764,0,0.406,88.152,46,22
30,218590,0,0.807,110.512,1,30
54,210975,0,0.5,114.755,99,54
0,186373,0,0.726,140.113,83,0
0,176933,0,0.507,117.053,83,0
20,144506,0,0.0802,76.029,99,20
27,163600,0,0.353,96.925,99,27
22,216866,0,0.0967,76.436,99,22
20,240653,0,0.192,74.033,99,20
21,228159,0,0.538,94.042,19,21
22,195708,1,0.582,139.083,19,21.5
21,161672,1,0.553,90.825,19,21.5
36,221070,0,0.63,104.959,1,45.5
55,203070,0,0.501,70.919,1,45.5
20,237520,0,0.66,124.505,13,30.6666666666667
26,334853,0,0.529,126.672,13,30.6666666666667
46,274653,0,0.652,121.97,13,30.6666666666667
0,202173,0,0.667,99.667,96,0
37,176074,0,0.414,134.98,84,37
21,267874,0,0.489,100.207,27,21
26,100413,0,0.502,142.278,8,26
27,108786,0,0.621,109.979,39,27
0,236080,0,0.732,99.946,68,0
0,202866,1,0.878,119.925,69,0
30,191493,0,0.159,189.19,105,30.5
31,242440,0,0.308,150.215,105,30.5
27,210160,0,0.411,93.371,42,27
15,190880,0,0.421,86.934,109,15
21,226600,0,0.437,110.409,109,21
19,201093,0,0.434,122.659,109,19
25,271578,0,0.605,113.842,70,25
43,179815,0,0.691,135.071,69,43
56,209640,0,0.509,114.604,52,57
58,217000,0,0.395,167.863,52,57
57,176345,0,0.837,140.047,52,57
42,342000,0,0.532,109.112,65,42
0,170396,0,0.825,176.059,38,0
0,157837,0,0.759,111.902,78,17.75
1,157837,0,0.759,111.902,38,17.75
0,157837,0,0.759,111.902,78,17.75
70,157837,0,0.759,111.902,38,17.75
23,151509,0,0.568,112.005,19,23
62,333922,0,0.535,143.862,82,62
70,334173,0,0.537,97.87,81,70
54,250000,0,0.762,137.956,58,54
34,262767,0,0.686,139.946,103,34
45,301440,0,0.813,125.009,74,45
24,187733,0,0.192,65.834,76,24
61,92703,0,0.538,81.769,80,61.5
62,145620,0,0.464,111.993,80,61.5
59,215773,0,0.554,94.984,58,59
0,197853,0,0.608,179.888,54,0
0,156093,0,0.656,118.942,54,0
0,240146,0,0.523,126.002,100,0
0,240146,0,0.523,126.002,91,0
0,210520,0,0.563,173.98,100,0
0,129610,0,0.585,81.37,100,0
0,129610,0,0.585,81.37,103,0
0,200360,0,0.541,133.537,65,0
28,152213,0,0.805,122.54,46,28
0,214080,0,0.532,151.938,105,0
81,195348,1,0.815,172.014,90,81
0,258799,0,0.807,91.982,90,37.5
75,258800,0,0.807,91.987,69,37.5
41,191952,0,0.705,116.028,58,48
45,258069,0,0.575,94.936,100,48
49,328384,0,0.653,99.974,58,48
49,247510,0,0.598,131.955,66,48
42,255000,0,0.688,96.056,100,48
62,218930,0,0.517,176.035,56,48
47,551360,0,0.477,82.293,66,48
49,239804,0,0.611,142.123,66,48
56,373573,0,0.489,149.928,66,56
44,100881,0,0.287,108.327,18,44
10,267173,0,0.811,119.99,55,10
62,170666,0,0.632,90.006,52,62
77,206060,0,0.796,98.967,52,77
19,376506,0,0.906,104.029,22,19
1,246840,0,0.89,99.255,22,1
11,60733,1,0.31,103.314,43,11
55,321880,0,0.277,102.397,5,55
11,240400,0,0.624,125.445,11,11
21,239786,0,0.55,131.962,59,21
58,259933,0,0.393,186.04,63,58
9,54000,0,0.49,96.779,55,10
8,124000,0,0.163,133.847,55,10
13,94000,0,0.274,79.83,55,10
37,240113,0,0.191,129.649,18,37
13,87537,0,0.23,114.547,43,13
51,225800,0,0.421,77.573,73,51
51,213871,1,0.503,95.986,73,51
63,205746,0,0.415,115.752,39,62.5
66,215011,0,0.532,80.001,39,62.5
61,283493,0,0.538,100.158,39,62.5
60,217440,0,0.343,100.061,39,62.5
40,256133,0,0.518,95.926,51,40
83,228482,0,0.597,178.765,81,83
56,157435,1,0.708,117.003,95,55
54,150322,1,0.645,92.977,95,55
63,263549,0,0.523,139.885,82,63
9,518095,0,0.769,126.004,25,10
11,401813,0,0.776,130.048,25,10
0,188787,0,0.614,115.093,94,0
49,248173,0,0.509,93.948,78,42.5
36,130306,0,0.675,99.924,97,42.5
45,275969,0,0.72,146.056,10,45
9,223920,0,0.969,127.097,14,9
43,321013,0,0.595,105.103,10,43
27,370306,0,0.689,123.696,14,27
89,99282,1,0.9,100.007,52,89
59,194002,0,0.58,144.98,84,59
55,180923,0,0.575,129.956,84,55
51,201304,0,0.561,138.081,84,51
63,136000,0,0.651,119.995,84,59.5
56,136000,0,0.651,119.995,111,59.5
66,215773,0,0.592,103.517,84,66
49,196521,0,0.609,138.051,111,49
36,168293,0,0.752,92.058,9,36
16,308706,0,0.625,97.988,55,16
66,145801,1,0.639,160.101,3,66
27,209786,0,0.364,156.399,12,27
21,183412,1,0.416,173.981,47,21
46,254600,0,0.598,144.901,97,40
38,218253,0,0.598,93.04,97,40
38,177600,0,0.52,167.353,97,40
38,214674,0,0.599,156.197,97,40
18,273488,0,0.61,85.999,28,18
17,278219,0,0.425,174.023,28,17
0,186250,0,0.123,86.817,60,0
48,119690,0,0.602,160.23,57,48
33,260539,0,0.591,179.947,96,32.5
32,264228,0,0.666,195.026,96,32.5
0,192223,0,0.215,69.897,60,0
0,265888,0,0.329,71.582,60,0
22,259413,0,0.684,128.996,59,22
73,222926,1,0.346,99.855,32,73
44,210491,0,0.803,122.012,33,44
0,175853,0,0.737,85.001,20,0
57,192026,0,0.387,191.006,63,57
57,222826,0,0.372,181.017,34,57
28,250093,1,0.635,120.048,51,30
26,230213,1,0.465,180.087,51,30
36,300328,1,0.507,75.002,51,30
17,226213,0,0.383,80.088,109,17
58,555704,0,0.618,138.029,111,58
41,451267,0,0.604,142.003,111,41
51,350487,0,0.687,137.991,111,51
35,216456,0,0.438,156.318,87,35
65,236933,0,0.533,90.315,82,65
48,190099,0,0.627,167.923,78,49.5
51,207853,0,0.704,146.067,38,49.5
51,150000,0,0.738,160.066,30,51
25,125859,1,0.592,133.987,73,25
63,192000,0,0.644,124.957,84,63
16,342052,0,0.461,173.787,28,16
17,208120,0,0.802,130.022,11,15.5
14,342173,0,0.519,119.965,11,15.5
72,278973,0,0.423,116.602,45,72
72,278973,0,0.423,116.602,72,72
24,224200,0,0.289,110.589,99,24
46,134483,0,0.175,90.318,99,46
50,288946,0,0.214,156.293,23,50
22,143520,0,0.661,139.344,46,22
50,190750,0,0.264,54.356,80,50
1,190318,0,0.53,166.02,21,1
22,364000,0,0.463,126.078,77,22
76,305906,0,0.58,118.004,4,76
20,250377,0,0.38,135.08,23,20
31,170101,0,0.134,90.559,7,31
39,209866,0,0.624,109.977,56,39
0,278480,0,0.59,127.05,31,0
72,157202,0,0.802,100.001,31,36
0,157202,0,0.802,100.001,21,36
49,193424,0,0.377,100.006,38,49
43,194240,0,0.604,148.007,36,43
34,198385,0,0.173,124.055,102,33.6666666666667
33,148000,0,0.261,144.766,102,33.6666666666667
34,229645,0,0.0821,66.344,102,33.6666666666667
