"popularity","valence","duration_ms","explicit","danceability","tempo","genre_numeric","popularity_artist"
31,0.485,242626,0,0.537,154.014,62,31.3958333333333
33,0.565,281373,0,0.6,125.031,62,31.3958333333333
18,0.821,210053,0,0.493,175.054,62,31.3958333333333
38,0.618,246546,0,0.415,158.048,62,31.3958333333333
26,0.58,211613,0,0.537,161.998,62,31.3958333333333
37,0.605,323186,0,0.424,173.948,64,31.3958333333333
30,0.638,268946,0,0.519,143.065,62,31.3958333333333
33,0.565,281373,0,0.6,125.031,64,31.3958333333333
37,0.605,323186,0,0.424,173.948,62,31.3958333333333
27,0.73,215213,0,0.728,130.018,62,31.3958333333333
32,0.728,291840,0,0.504,158.007,64,31.3958333333333
32,0.538,262092,0,0.5,167.171,64,31.3958333333333
26,0.696,243613,0,0.687,122.596,62,31.3958333333333
26,0.672,309213,0,0.426,161.93,62,31.3958333333333
31,0.632,258252,0,0.473,162.904,62,31
31,0.623,216773,0,0.514,171.989,62,31
26,0.212,265760,0,0.535,80.008,62,31
31,0.53,289546,0,0.625,145.011,62,31
18,0.141,260079,0,0.422,88.004,62,31
35,0.55,244413,0,0.401,183.06,62,31
22,0.793,224720,0,0.796,131.027,62,31
33,0.818,280693,0,0.516,83.933,62,31
35,0.55,244413,0,0.401,183.06,64,31
33,0.511,254133,0,0.485,173.917,64,31
33,0.678,272440,0,0.588,97.027,62,31
32,0.788,273080,0,0.548,163.005,62,31
36,0.638,269746,0,0.486,160.011,62,31
33,0.732,231813,0,0.643,133.041,62,31
32,0.876,241706,0,0.452,181.886,62,31
30,0.735,252773,0,0.618,134.041,62,31
33,0.678,272440,0,0.588,97.027,64,31
27,0.337,90826,0,0.349,151.002,62,31
33,0.511,254133,0,0.485,173.917,62,31
33,0.732,231813,0,0.643,133.041,64,31
33,0.818,280693,0,0.516,83.933,64,31
36,0.638,269746,0,0.486,160.011,64,31
27,0.551,243946,0,0.55,91.492,62,31
58,0.124,190868,1,0.609,118.047,34,58
39,0.23,134506,0,0.744,148.26,106,39
43,0.283,128785,0,0.821,74.997,106,43
32,0.0582,113573,0,0.42,112.643,64,32
21,0.693,204000,1,0.693,159.9,19,21
60,0.234,215840,0,0.448,157.975,45,43.5
54,0.361,229973,0,0.404,146.58,45,43.5
30,0.327,199680,0,0.468,164.035,45,43.5
30,0.359,221653,0,0.409,153.955,45,43.5
34,0.654,137893,0,0.517,124.821,64,33.3333333333333
34,0.654,137893,0,0.517,124.821,101,33.3333333333333
32,0.623,138893,0,0.477,106.724,64,33.3333333333333
33,0.32,192760,0,0.355,195.026,64,33
0,0.607,156653,1,0.771,148.062,37,0
0,0.491,235538,1,0.779,139.976,37,0
38,0.415,126757,1,0.723,125.985,40,38
39,0.364,190133,1,0.733,79.979,40,39
37,0.648,159811,0,0.819,75.027,40,37
0,0.683,213066,0,0.437,161.412,103,14
0,0.683,213066,0,0.437,161.412,9,14
0,0.622,359235,0,0.616,124.721,35,14
69,0.892,267946,0,0.837,104.995,9,14
0,0.622,359235,0,0.616,124.721,103,14
71,0.164,366640,0,0.404,133.738,9,14
0,0.622,359235,0,0.616,124.721,100,14
0,0.683,213066,0,0.437,161.412,100,14
0,0.683,213066,0,0.437,161.412,35,14
0,0.622,359235,0,0.616,124.721,9,14
61,0.259,237266,0,0.359,84.366,58,61
41,0.366,248667,0,0.587,85.986,113,41
59,0.468,184426,0,0.2,93.977,48,54.8888888888889
53,0.525,179066,0,0.531,96.925,45,54.8888888888889
52,0.48,202333,0,0.229,172.129,45,54.8888888888889
60,0.306,206706,0,0.444,127.102,48,54.8888888888889
59,0.468,184426,0,0.2,93.977,45,54.8888888888889
55,0.394,235106,0,0.262,186.227,48,54.8888888888889
60,0.306,206706,0,0.444,127.102,45,54.8888888888889
41,0.262,223160,0,0.394,127.041,45,54.8888888888889
55,0.394,235106,0,0.262,186.227,45,54.8888888888889
32,0.219,489931,0,0.518,145,111,35.6666666666667
41,0.259,480640,0,0.582,146.009,111,35.6666666666667
34,0.379,384738,0,0.651,145.019,111,35.6666666666667
37,0.78,277280,1,0.588,109.941,87,37
47,0.182,162858,1,0.586,83.996,104,47
45,0.0558,135200,0,0.515,75.032,29,45
45,0.0558,135200,0,0.515,75.032,30,45
47,0.339,298400,0,0.592,150.096,30,47
47,0.339,298400,0,0.592,150.096,29,47
41,0.118,172800,0,0.533,149.998,30,41
19,0.139,204166,0,0.726,89.997,18,19
32,0.407,170924,1,0.716,145.04,37,32
20,0.0708,330066,0,0.0998,195.039,7,18
20,0.0393,465586,0,0.169,117.6,7,18
16,0.195,489333,0,0.203,119.634,7,18
17,0.236,274640,0,0.163,147.591,7,18
17,0.0225,829146,0,0.318,134.816,7,18
54,0.681,146737,0,0.428,151.005,39,54
38,0.665,192000,0,0.726,104.954,113,38
45,0.743,483966,0,0.859,121.002,111,46
47,0.0819,290034,0,0.599,120.712,111,46
39,0.359,209000,0,0.498,132.949,86,37.25
32,0.633,270520,0,0.625,113.965,64,37.25
39,0.359,209000,0,0.498,132.949,64,37.25
39,0.359,209000,0,0.498,132.949,87,37.25
19,0.147,354038,0,0.368,109.999,51,19
35,0.102,212893,0,0.393,177.055,18,35
35,0.529,260403,0,0.493,78.049,63,36.5
35,0.529,260403,0,0.493,78.049,64,36.5
39,0.857,247935,0,0.639,120.089,63,36.5
34,0.465,229579,0,0.247,129.096,64,36.5
37,0.393,239533,0,0.562,72.173,63,36.5
39,0.857,247935,0,0.639,120.089,64,36.5
0,0.518,136120,1,0.643,175.813,40,0
0,0.457,123280,0,0.666,173.993,40,0
35,0.119,202533,0,0.639,139.914,33,35
49,0.276,204577,0,0.58,174.019,28,43.25
46,0.0978,175517,0,0.465,173.896,28,43.25
18,0.313,222844,0,0.46,173.961,28,43.25
60,0.489,229137,0,0.516,173.947,28,43.25
33,0.832,264626,0,0.627,87.805,37,33
0,0.829,180000,1,0.774,160.038,37,0
0,0.643,203240,1,0.762,137.97,37,0
22,0.0667,378949,0,0.743,148.001,50,22
41,0.747,182160,0,0.548,140.088,107,40.2857142857143
39,0.789,212720,0,0.559,120.048,107,40.2857142857143
43,0.541,240010,0,0.625,110.018,107,40.2857142857143
45,0.948,180259,0,0.777,129.997,107,40.2857142857143
38,0.751,215195,0,0.704,110.012,107,40.2857142857143
38,0.82,182213,0,0.538,149.898,107,40.2857142857143
38,0.912,215066,0,0.71,114.946,107,40.2857142857143
44,0.563,198718,0,0.599,140.032,107,44
18,0.754,208227,0,0.696,134.027,47,24.0909090909091
16,0.372,322840,0,0.769,128.843,47,24.0909090909091
18,0.549,410533,0,0.663,145.649,47,24.0909090909091
30,0.401,205116,0,0.449,172.06,49,24.0909090909091
17,0.112,210141,0,0.517,168.037,47,24.0909090909091
28,0.612,263162,0,0.701,134.013,47,24.0909090909091
65,0.507,264000,0,0.702,134.027,47,24.0909090909091
20,0.565,282613,0,0.576,137.999,47,24.0909090909091
16,0.571,246969,0,0.455,168.982,47,24.0909090909091
17,0.847,269791,0,0.828,123.998,47,24.0909090909091
17,0.822,224449,0,0.51,133.046,47,24.0909090909091
22,0.73,202093,0,0.672,131.974,47,24.0909090909091
21,0.652,206445,0,0.644,135.027,47,24.0909090909091
20,0.571,246969,0,0.455,168.982,47,24.0909090909091
19,0.841,194893,0,0.718,92.125,47,24.0909090909091
57,0.816,351026,0,0.705,127.986,47,24.0909090909091
